Date Of Test,Signal (dBm),Speed (m/s),Distance from site (m),Call Test Duration (s),Call Test Result,Call Test Technology,Call Test Setup Time (s),MOS
2017-07-01 00:00:27,-61,68.80000305,1048.6,90,1,1,0.56,2.1
2017-07-01 00:02:57,-61,68.76999664,1855.54,90,1,1,0.45,3.2
2017-07-01 00:05:29,-71,69.16999817,1685.62,90,1,1,0.51,2.1
2017-07-01 00:08:02,-65,69.27999878,1770.92,90,1,1,0,1
2017-07-01 00:10:30,-103,0.8199999928,256.07,60,1,1,3.35,3.6
2017-07-01 00:10:37,-61,68.86000061,452.5,90,1,1,0,1
2017-07-01 00:13:08,-63,68.76000214,899.88,90,1,1,0.49,2.1
2017-07-01 00:17:57,-73,70.01999664,296.19,90,1,1,0,1
2017-07-01 00:23:01,-61,22.12000084,21532.25,90,1,1,0.52,2.1
2017-07-01 00:23:37,-105,0.8199999928,256.07,60,1,1,3.26,3.7
2017-07-01 00:25:33,-63,18.78000069,889.38,90,1,1,1.3,4.3
2017-07-01 00:30:22,-83,31.03000069,1385.85,90,1,1,0,4.4
2017-07-01 00:32:08,-106,0,786.53,90,1,2,2.45,4.4
2017-07-01 00:32:54,-87,31.03000069,17496.52,90,1,1,0,1
2017-07-01 00:34:41,-106,0,786.09,90,1,2,2.47,4.4
2017-07-01 00:35:11,-107,0.8199999928,256.07,60,1,1,3.49,3.8
2017-07-01 00:37:13,-106,0,785.38,90,1,2,2.88,4.4
2017-07-01 00:39:46,-106,0,785.48,90,1,2,2.5,4.4
2017-07-01 00:40:32,-99,80.30999756,14898.67,65.41,0,1,0,1
2017-07-01 00:42:22,-106,0,785.49,90,1,2,2.6,4.4
2017-07-01 00:44:54,-106,0,785.7,90,1,2,2.61,4.4
2017-07-01 00:46:45,-105,0.8199999928,256.07,60,1,1,5.34,3.6
2017-07-01 00:47:26,-106,0,785.56,90,1,2,2.58,4.4
2017-07-01 00:53:47,-71,26.10000038,804.93,90,1,1,0,3.3
2017-07-01 00:56:20,-91,16.51000023,129.79,90,1,2,2.62,4.4
2017-07-01 00:58:52,-83,29.71999931,401.3,90,1,2,2.64,4.4
2017-07-01 01:01:25,-99,43.63999939,944.89,90,1,2,2.63,4.4
2017-07-01 01:03:31,-105,0.8199999928,256.07,60,1,1,3.53,2.3
2017-07-01 01:03:58,-90,37.02999878,502.6,90,1,2,2.53,4.4
2017-07-01 01:06:30,-98,1.74000001,665.46,90,1,2,1.12,4.4
2017-07-01 01:09:03,-93,31.77000046,627.07,90,1,2,0.48,4.4
2017-07-01 01:10:05,-103,0.8199999928,256.07,60,1,1,3.34,3.6
2017-07-01 01:11:35,-84,27.52000046,651.78,90,1,2,0.55,4.4
2017-07-01 01:14:07,-87,10.09000015,288.66,90,1,2,0.62,4.4
2017-07-01 01:16:39,-94,34.40999985,975.31,90,1,2,0.54,4.4
2017-07-01 01:19:11,-84,21.82999992,442.36,90,1,2,0.51,4.4
2017-07-01 01:21:42,-104,8.329999924,1314.25,90,1,2,0.52,4.4
2017-07-01 01:24:15,-87,0,227.28,90,1,2,0.69,4.4
2017-07-01 01:26:47,-87,29.13999939,467.23,90,1,2,0.5,4.4
2017-07-01 01:28:47,-118,36.68000031,1804.73,57.92,0,2,0.69,4.4
2017-07-01 01:28:49,-103,0.8199999928,256.07,60,1,1,3.42,3.7
2017-07-01 01:31:35,-97,10.5,953.56,90,1,2,0.57,4.4
2017-07-01 01:34:08,-103,22.21999931,892.96,90,1,2,1.78,4.4
2017-07-01 01:35:23,-103,0.8199999928,256.07,60,1,1,3.65,2.7
2017-07-01 01:36:40,-94,44.11000061,714.68,90,1,2,0.71,4.3
2017-07-01 01:39:12,-98,11.10000038,1059.01,90,1,2,2.69,4.4
2017-07-01 01:41:57,-101,0.8199999928,256.07,60,1,1,3.87,3.7
2017-07-01 01:44:16,-99,0,582.24,90,1,2,2.62,4.3
2017-07-01 01:49:20,-85,0,146.44,90,1,2,0.62,4.3
2017-07-01 01:53:31,-103,0.8199999928,256.07,60,1,1,3.79,3.7
2017-07-01 01:54:25,-85,0,146.74,90,1,2,0.54,4.3
2017-07-01 01:56:57,-85,0,146.92,90,1,2,0.6,4.3
2017-07-01 01:59:29,-85,0,147.17,90,1,2,0.53,4.4
2017-07-01 02:02:01,-85,0,147.29,90,1,2,0.64,4.3
2017-07-01 02:05:04,-101,0.8199999928,256.07,60,1,1,3.81,3.1
2017-07-01 02:07:05,-85,0,147.22,90,1,2,0.62,4.4
2017-07-01 02:09:37,-85,0,147.24,90,1,2,0.58,4.3
2017-07-01 02:12:09,-85,0,147.24,90,1,2,0.6,4.3
2017-07-01 02:14:41,-85,0,147.22,90,1,2,0.64,4.4
2017-07-01 02:17:12,-85,0,147.31,90,1,2,0.62,4.3
2017-07-01 02:19:45,-85,0,147.41,90,1,2,0.64,4.3
2017-07-01 02:21:49,-103,0.8199999928,256.07,60,1,1,4.09,3.7
2017-07-01 02:22:17,-85,0,147.38,90,1,2,0.6,4.3
2017-07-01 02:24:49,-85,0,147.4,90,1,2,0.73,4.4
2017-07-01 02:27:21,-85,0,147.39,90,1,2,0.67,4.3
2017-07-01 02:28:23,-103,0.8199999928,256.07,60,1,1,3.47,3.8
2017-07-01 02:29:53,-85,0,147.43,90,1,2,0.63,4.4
2017-07-01 02:32:25,-85,0,147.73,90,1,2,0.7,4.3
2017-07-01 02:34:57,-85,0,147.89,90,1,2,0.62,4.4
2017-07-01 02:37:29,-85,40.20999908,528.41,90,1,2,0.66,4.4
2017-07-01 02:40:02,-87,44.34999847,1028.21,90,1,2,0.68,4.4
2017-07-01 02:42:46,-69,43.72999954,165.3,90,1,1,0,2.2
2017-07-01 02:47:08,-103,0.8199999928,256.07,60,1,1,3.62,3.7
2017-07-01 02:47:49,-84,36.81999969,381.86,90,1,2,0.67,4.3
2017-07-01 02:50:20,-110,44.20000076,8264.56,90,1,2,0.68,4.4
2017-07-01 02:55:27,-63,44.13000107,1244.68,90,1,1,0,3.3
2017-07-01 02:58:01,-53,44.47000122,457.75,90,1,1,0,1.2
2017-07-01 03:00:15,-103,0.8199999928,256.07,60,1,1,3.81,3.8
2017-07-01 03:03:06,-86,44.91999817,1044.91,90,1,2,0.63,4.4
2017-07-01 03:05:38,-85,43.56999969,1511.11,90,1,2,0.67,4.4
2017-07-01 03:08:10,-92,41.24000168,750.4,87.59,1,2,0.71,4.4
2017-07-01 03:10:42,-93,24.29000092,291.24,90,1,2,0.74,4.3
2017-07-01 03:11:49,-103,0.8199999928,256.07,60,1,1,3.32,3.8
2017-07-01 03:15:31,-71,43.88999939,912.26,90,1,1,0.5,3.2
2017-07-01 03:20:35,-96,38.18000031,3000.05,90,1,2,0.55,4.4
2017-07-01 03:23:07,-75,42.88999939,1379.52,90,1,0,0.43,4.3
2017-07-01 03:23:23,-103,0.8199999928,256.07,60,1,1,3.76,3.7
2017-07-01 03:28:11,-94,38.65000153,787.91,90,1,2,0.52,4.3
2017-07-01 03:33:18,-94,44.31000137,582.27,90,1,2,0.5,3.2
2017-07-01 03:38:22,-93,14.61999989,559.06,90,1,2,0.68,4.4
2017-07-01 03:40:12,-103,0.8199999928,256.07,60,1,1,3.75,3.7
2017-07-01 03:40:53,-88,15.27999973,378.51,90,1,2,0.46,4.3
2017-07-01 03:45:57,-85,10.78999996,525.67,90,1,2,0.5,4.3
2017-07-01 03:46:47,-103,0.8199999928,256.07,60,1,1,3.75,3.8
2017-07-01 03:48:29,-85,15.14999962,268.01,90,1,2,0.46,4.3
2017-07-01 03:51:02,-99,16.53000069,445.88,90,1,2,0.58,4.3
2017-07-01 03:53:52,-63,17.54000092,1793.1,90,1,1,0,1
2017-07-01 03:58:55,-115,7.690000057,704.48,90,1,2,0.5,4.3
2017-07-01 04:01:27,-105,0.4600000083,836.97,90,1,2,0.45,4.3
2017-07-01 04:04:00,-105,0,847.79,90,1,2,0.48,4.4
2017-07-01 04:05:31,-89,0.8199999928,256.07,60,1,0,2.88,1
2017-07-01 04:06:32,-105,0,844.98,90,1,2,0.49,4.4
2017-07-01 04:09:04,-105,0,844.16,90,1,2,0.48,4.4
2017-07-01 04:11:37,-105,0,843.93,90,1,2,0.52,4.4
2017-07-01 04:12:05,-105,0.8199999928,256.07,60,1,1,3.36,3.8
2017-07-01 04:14:13,-107,0,844.03,90,1,2,0.45,4.3
2017-07-01 04:16:45,-107,0,844.44,90,1,2,0.49,4.4
2017-07-01 04:18:39,-89,0.8199999928,256.07,60,1,0,3.13,3.7
2017-07-01 04:19:18,-107,0,844.65,90,1,2,0.44,4.4
2017-07-01 04:21:49,-107,0,844.57,90,1,2,0.48,4.4
2017-07-01 04:24:28,-107,0,844.84,90,1,2,0.45,4.4
2017-07-01 04:27:00,-107,0,844.83,90,1,2,0.46,4.4
2017-07-01 04:29:37,-107,0,844.98,90,1,2,0.42,4.4
2017-07-01 04:30:12,-111,0.8199999928,256.07,60,1,1,2.83,3.7
2017-07-01 04:32:10,-107,0,845.17,90,1,2,0.42,4.4
2017-07-01 04:34:42,-107,0,845.6,90,1,2,0.58,4.4
2017-07-01 04:37:15,-107,0,845.58,90,1,2,0.46,4.4
2017-07-01 04:39:47,-107,0,845.86,90,1,2,0.43,4.4
2017-07-01 04:41:46,-103,0.8199999928,256.07,60,1,1,4.05,3.7
2017-07-01 04:42:19,-107,0,846.15,90,1,2,0.46,4.4
2017-07-01 04:45:07,-105,0,845.99,90,1,2,0.41,4.4
2017-07-01 04:47:53,-107,0,846.65,90,1,2,0.56,4.4
2017-07-01 04:50:25,-107,0,846.73,90,1,2,0.42,4.3
2017-07-01 04:52:58,-107,0,846.66,90,1,2,0.41,4.4
2017-07-01 04:55:31,-107,0,845.83,90,1,2,0.52,4.4
2017-07-01 04:58:03,-107,0,845.11,90,1,2,0.39,4.4
2017-07-01 04:58:34,-103,0.8199999928,256.07,60,1,1,3.46,3.6
2017-07-01 05:00:36,-107,0,844.94,90,1,2,0.44,4.4
2017-07-01 05:03:08,-107,0,844.62,90,1,2,0.54,4.4
2017-07-01 05:05:07,-83,0.8199999928,256.07,60,1,0,3.02,1
2017-07-01 05:05:40,-107,0,844.57,90,1,2,0.48,4.4
2017-07-01 05:08:12,-107,0,844.7,90,1,2,0.4,4.4
2017-07-01 05:10:45,-107,0,844.77,90,1,2,0.64,4.4
2017-07-01 05:13:17,-107,0,844.51,90,1,2,0.51,4.4
2017-07-01 05:16:08,-107,0,830.4,90,1,2,0.4,4.4
2017-07-01 05:18:40,-107,0,830.23,90,1,2,0.44,4.4
2017-07-01 05:21:17,-107,0,830.04,90,1,2,0.65,4.4
2017-07-01 05:23:49,-107,0,829.94,90,1,2,0.46,4.4
2017-07-01 05:23:52,-105,0.8199999928,256.07,60,1,1,3.92,3.8
2017-07-01 05:26:22,-107,0,829.98,90,1,2,0.55,4.4
2017-07-01 05:28:54,-107,0,829.94,90,1,2,0.48,4.4
2017-07-01 05:30:26,-103,0.8199999928,256.07,60,1,1,3.63,3.7
2017-07-01 05:31:27,-107,0,833.31,90,1,2,0.44,4.4
2017-07-01 05:33:58,-107,0,832.6,90,1,2,0.41,4.4
2017-07-01 05:36:31,-107,0,832.23,90,1,2,0.51,4.4
2017-07-01 05:37:00,-109,0.8199999928,256.07,60,1,1,3.28,3.7
2017-07-01 05:39:03,-107,0,832.02,90,1,2,0.54,4.3
2017-07-01 05:41:35,-107,0,831.62,90,1,2,0.42,4.4
2017-07-01 05:44:07,-107,0,831.31,90,1,2,0.47,4.4
2017-07-01 05:46:55,-107,0,830.84,90,1,2,0.46,4.4
2017-07-01 05:48:33,-103,0.8199999928,256.07,60,1,1,3.37,3.7
2017-07-01 05:49:27,-107,0,830.93,90,1,2,0.41,4.4
2017-07-01 05:52:00,-107,0,830.45,90,1,2,0.5,4.4
2017-07-01 05:54:33,-107,0,830.3,90,1,2,0.42,4.4
2017-07-01 05:57:05,-107,0,829.88,90,1,2,0.46,4.4
2017-07-01 05:59:37,-107,0,828.65,90,1,2,0.44,4.4
2017-07-01 06:00:07,-103,0.8199999928,256.07,60,1,1,3.57,3.7
2017-07-01 06:04:41,-107,0,828.3,90,1,2,0.53,4.4
2017-07-01 06:07:13,-107,0,828.55,90,1,2,0.5,4.4
2017-07-01 06:09:45,-107,0,828.61,90,1,2,0.38,4.3
2017-07-01 06:12:17,-107,0,828.62,90,1,2,0.43,4.4
2017-07-01 06:14:49,-107,0,828.56,90,1,2,0.55,4.4
2017-07-01 06:16:54,-105,0.8199999928,256.07,60,1,1,3.69,3.7
2017-07-01 06:17:21,-107,0,828.67,90,1,2,0.61,4.4
2017-07-01 06:19:53,-107,0,828.57,90,1,2,0.51,4.4
2017-07-01 06:22:29,-107,0,828.5,90,1,2,0.42,4.4
2017-07-01 06:23:27,-103,0.8199999928,256.07,60,1,1,3.73,3.7
2017-07-01 06:25:01,-107,0,828.49,90,1,2,0.54,4.4
2017-07-01 06:27:33,-106,0,828.47,90,1,2,0.65,4.4
2017-07-01 06:30:05,-106,0,828.65,90,1,2,0.47,4.4
2017-07-01 06:32:38,-106,0,829.04,90,1,2,0.45,4.4
2017-07-01 06:35:10,-106,0,829.3,90,1,2,0.47,4.4
2017-07-01 06:37:55,-106,0,829.54,90,1,2,0.45,4.4
2017-07-01 06:40:28,-106,0,829.99,90,1,2,0.41,4.4
2017-07-01 06:42:12,-103,0.8199999928,256.07,60,1,1,3.69,3.6
2017-07-01 06:43:00,-106,0,830.51,90,1,2,0.45,4.4
2017-07-01 06:45:32,-106,0,830.55,90,1,2,0.56,4.4
2017-07-01 06:48:04,-106,0,830.68,90,1,2,0.4,4.4
2017-07-01 06:48:45,-105,0.8199999928,256.07,60,1,1,3.8,4
2017-07-01 06:50:36,-106,0,830.99,90,1,2,0.41,4.4
2017-07-01 06:53:08,-106,0,831.01,90,1,2,0.51,4.4
2017-07-01 06:55:20,-103,0.8199999928,256.07,60,1,1,3.79,4
2017-07-01 06:55:40,-106,0,830.84,90,1,2,0.51,4.4
2017-07-01 06:58:13,-106,0,830.9,90,1,2,0.43,4.4
2017-07-01 07:00:45,-107,0,830.79,90,1,2,0.48,4.4
2017-07-01 07:03:17,-107,0,831.09,90,1,2,0.48,4.4
2017-07-01 07:06:53,-105,0.8199999928,256.07,60,1,1,3.82,2.4
2017-07-01 07:08:21,-107,0,831.12,90,1,2,0.5,4.4
2017-07-01 07:10:54,-107,0,831.02,90,1,2,0.41,4.4
2017-07-01 07:13:26,-107,0,831.09,90,1,2,0.45,4.4
2017-07-01 07:15:58,-107,0,830.99,90,1,2,0.45,4.4
2017-07-01 07:18:27,-105,0.8199999928,256.07,60,1,1,3.88,3.6
2017-07-01 07:18:31,-107,0,830.97,90,1,2,0.42,4.4
2017-07-01 07:21:03,-107,0,830.79,90,1,2,0.42,4.3
2017-07-01 07:23:35,-107,0,830.72,90,1,2,0.44,4.4
2017-07-01 07:26:07,-107,0,830.72,90,1,2,0.61,4.3
2017-07-01 07:28:39,-107,0,830.72,90,1,2,0.45,4.4
2017-07-01 07:31:11,-107,0,830.62,90,1,2,0.47,4.3
2017-07-01 07:33:43,-107,0,830.51,90,1,2,0.42,4.4
2017-07-01 07:35:17,-101,0.8199999928,256.07,60,1,1,3.62,2.7
2017-07-01 07:36:16,-107,0,830.36,90,1,2,0.41,4.4
2017-07-01 07:38:48,-107,0,830.29,90,1,2,0.41,4.4
2017-07-01 07:41:20,-107,0,830.29,90,1,2,0.45,4.4
2017-07-01 07:41:50,-103,0.8199999928,256.07,60,1,1,3.48,3.8
2017-07-01 07:43:52,-107,0,830.37,90,1,2,0.39,4.4
2017-07-01 07:46:25,-107,0,830.53,90,1,2,0.44,4.4
2017-07-01 07:48:57,-107,0,830.62,82.41,1,2,0.47,4.4
2017-07-01 07:51:29,-107,0,830.51,90,1,2,0.48,4.4
2017-07-01 07:54:01,-107,0,830.47,90,1,2,0.48,4.4
2017-07-01 07:56:33,-107,0,830.44,90,1,2,0.47,4.3
2017-07-01 07:59:06,-107,0,830.38,90,1,2,0.44,4.4
2017-07-01 08:00:35,-101,0.8199999928,256.07,60,1,1,3.31,3.8
2017-07-01 08:01:38,-107,0,830.33,90,1,2,0.4,4.4
2017-07-01 08:04:10,-107,0,830.32,90,1,2,0.5,4.4
2017-07-01 08:06:42,-107,0,830.28,90,1,2,0.49,4.4
2017-07-01 08:07:09,-103,0.8199999928,256.07,60,1,1,3.43,2.7
2017-07-01 08:09:14,-107,0,830.3,90,1,2,0.4,4.4
2017-07-01 08:11:46,-107,0,830.25,90,1,2,0.5,4.4
2017-07-01 08:13:43,-103,0.8199999928,256.07,60,1,1,3.24,3.7
2017-07-01 08:14:18,-107,0,830.25,90,1,2,0.49,4.4
2017-07-01 08:16:50,-107,0,830.27,90,1,2,0.46,4.4
2017-07-01 08:19:22,-108,0,830.32,90,1,2,0.45,4.4
2017-07-01 08:21:54,-108,0,830.3,90,1,2,0.43,4.4
2017-07-01 08:24:27,-108,0,830.29,90,1,2,0.38,4.4
2017-07-01 08:25:17,-101,0.8199999928,256.07,60,1,1,3.08,3.7
2017-07-01 08:26:59,-108,0,830.3,90,1,2,0.4,4.4
2017-07-01 08:29:31,-108,0,830.31,90,1,2,0.41,4.4
2017-07-01 08:32:04,-108,0,830.28,90,1,2,0.44,4.4
2017-07-01 08:34:36,-107,0,830.33,90,1,2,0.68,4.4
2017-07-01 08:36:50,-103,0.8199999928,256.07,60,1,1,3.32,2.7
2017-07-01 08:37:08,-107,0,830.22,90,1,2,0.39,4.3
2017-07-01 08:39:40,-107,0,830.2,90,1,2,0.43,4.4
2017-07-01 08:42:12,-107,0,830.18,90,1,2,0.44,4.4
2017-07-01 08:44:44,-107,0,830.21,90,1,2,0.4,4.3
2017-07-01 08:47:17,-107,0,830.17,90,1,2,0.42,4.4
2017-07-01 08:49:49,-107,0,830.36,90,1,2,0.39,4.3
2017-07-01 08:52:21,-107,0,830.36,90,1,2,0.4,4.4
2017-07-01 08:53:40,-103,0.8199999928,256.07,60,1,1,3.46,2.7
2017-07-01 08:54:53,-107,0,830.35,90,1,2,0.51,4.4
2017-07-01 08:57:25,-107,0,830.35,90,1,2,0.47,4.3
2017-07-01 08:59:57,-107,0,830.29,90,1,2,0.46,4.4
2017-07-01 09:00:14,-105,0.8199999928,256.07,60,1,1,3.69,3.7
2017-07-01 09:02:29,-107,0,830.24,90,1,2,0.43,4.3
2017-07-01 09:05:01,-107,0,830.17,90,1,2,0.54,4.4
2017-07-01 09:07:33,-107,0,830.19,90,1,2,0.47,4.4
2017-07-01 09:10:06,-107,0,830.14,90,1,2,0.39,4.4
2017-07-01 09:12:38,-106,0,830.11,90,1,2,0.47,4.3
2017-07-01 09:17:43,-106,0,830.4,90,1,2,0.51,4.4
2017-07-01 09:18:58,-103,0.8199999928,256.07,60,1,1,3.68,3.7
2017-07-01 09:20:15,-106,0,830.4,90,1,2,0.4,4.3
2017-07-01 09:22:47,-107,0,830.54,90,1,2,0.44,4.3
2017-07-01 09:25:19,-107,0,830.58,90,1,2,0.48,4.4
2017-07-01 09:25:32,-103,0.8199999928,256.07,60,1,1,4.33,3.7
2017-07-01 09:27:51,-107,0,830.64,90,1,2,0.35,4.3
2017-07-01 09:30:24,-107,0,830.58,90,1,2,0.53,4.4
2017-07-01 09:32:06,-103,0.8199999928,256.07,60,1,1,3.56,4
2017-07-01 09:32:56,-107,0,830.55,90,1,2,0.47,4.4
2017-07-01 09:35:28,-107,0,830.56,90,1,2,0.44,4.4
2017-07-01 09:38:00,-107,0,830.6,90,1,2,0.44,4.4
2017-07-01 09:40:32,-107,0,830.61,90,1,2,0.48,4.3
2017-07-01 09:43:04,-107,0,807.29,90,1,2,0.54,4.4
2017-07-01 09:43:40,-103,0.8199999928,256.07,60,1,1,4.63,4.1
2017-07-01 09:45:31,-93,6.119999886,930,60,1,1,2.44,1
2017-07-01 09:45:36,-107,0,809.25,90,1,2,0.44,4.4
2017-07-01 09:48:08,-107,0,810.72,90,1,2,0.45,4.4
2017-07-01 09:50:41,-107,0,812.38,90,1,2,0.5,4.4
2017-07-01 09:53:13,-107,0,813.28,90,1,2,0.41,4.3
2017-07-01 09:55:13,-103,0.8199999928,256.07,60,1,1,3.94,3.7
2017-07-01 09:55:45,-107,0,812.82,90,1,2,0.44,4.4
2017-07-01 09:58:17,-107,0,812.46,90,1,2,0.52,4.4
2017-07-01 10:00:49,-107,0,812.18,90,1,2,0.4,4.4
2017-07-01 10:03:21,-107,0,810.91,90,1,2,0.42,4.3
2017-07-01 10:05:54,-107,0,810.79,90,1,2,0.49,4.3
2017-07-01 10:08:26,-107,0,811.13,90,1,2,0.46,4.3
2017-07-01 10:10:05,-99,0,1086.05,60,1,1,3.28,4.4
2017-07-01 10:10:58,-107,0,811.11,90,1,2,0.41,4.4
2017-07-01 10:11:58,-73,0,552.74,60,1,1,3.45,3.6
2017-07-01 10:13:30,-107,0,811.27,90,1,2,0.42,4.3
2017-07-01 10:16:03,-107,0,811.82,90,1,2,0.38,4.3
2017-07-01 10:18:32,-65,0,551.25,60,1,1,3.74,2.4
2017-07-01 10:18:35,-107,0,812.81,90,1,2,0.63,4.3
2017-07-01 10:21:07,-107,0,813.14,90,1,2,0.45,4.4
2017-07-01 10:23:40,-107,0,813.32,90,1,2,0.44,4.4
2017-07-01 10:26:12,-107,0,813.47,90,1,2,0.5,4.4
2017-07-01 10:28:44,-105,0,813.85,90,1,2,0.49,4.4
2017-07-01 10:31:16,-107,0,813.94,90,1,2,0.44,4.3
2017-07-01 10:33:48,-107,0,814.1,90,1,2,0.41,4.3
2017-07-01 10:33:53,-99,0,961.02,60,1,1,3.54,1
2017-07-01 10:36:21,-107,0,814.02,90,1,2,0.45,4.4
2017-07-01 10:38:45,-140,11.68000031,4083.65,289.23,0,2,0,4
2017-07-01 10:38:53,-107,0,814.22,90,1,2,0.48,4.3
2017-07-01 10:41:25,-107,0,814.61,90,1,2,0.45,4.4
2017-07-01 10:43:57,-107,0,815.16,90,1,2,0.4,4.3
2017-07-01 10:45:09,-99,0,950.3,60,1,1,3.37,1
2017-07-01 10:46:29,-111,18.40999985,11026.39,237.22,0,0,0,2.3
2017-07-01 10:46:30,-107,0,815.79,90,1,2,0.4,4.3
2017-07-01 10:49:02,-107,0,816,90,1,2,0.45,4.4
2017-07-01 10:51:34,-107,0,816.08,90,1,2,0.41,4.4
2017-07-01 10:56:38,-107,0,816.32,90,1,2,0.42,4.4
2017-07-01 10:58:06,-130,13.72000027,9879.93,40.83,0,2,0,4.3
2017-07-01 10:59:11,-107,0,816.51,90,1,2,0.43,4.3
2017-07-01 11:01:43,-107,0,816.55,90,1,2,0.39,4.3
2017-07-01 11:04:16,-107,0,816.79,90,1,2,0.48,4.4
2017-07-01 11:06:48,-107,0,817.06,90,1,2,0.51,4.4
2017-07-01 11:08:01,-95,0,955.5,60,1,1,3.4,1
2017-07-01 11:09:25,-107,0,817.21,90,1,2,0.39,4.4
2017-07-01 11:11:57,-107,0,817.22,90,1,2,0.54,4.4
2017-07-01 11:14:22,-73,21.78000069,726.12,600,1,1,0,1.8
2017-07-01 11:14:29,-107,0,817.85,90,1,2,0.52,4.4
2017-07-01 11:17:01,-107,0,818.37,90,1,2,0.42,4.4
2017-07-01 11:19:34,-107,0,818.49,90,1,2,0.45,4.3
2017-07-01 11:22:06,-107,0,818.77,90,1,2,0.48,4.4
2017-07-01 11:24:38,-107,0,818.89,90,1,2,0.41,4.3
2017-07-01 11:25:04,-71,19.34000015,685.43,600,1,0,0,2.5
2017-07-01 11:27:10,-107,0,819.14,90,1,2,0.44,4.4
